====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   r 
 in 1e-09 sec | l   2   4   8   1   3   6   1   2   5   1   2   4   8   1   3   6   1   e 
              | k               6   2   4   2   5   1   0   0   0   1   6   2   5   3   s 
       9105.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9200.0 | 0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9300.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9301.1 | 1   1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9400.0 | 0   1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9500.0 | 1   1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9501.4 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9502.4 | 1   0   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9600.0 | 0   0   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9700.0 | 1   0   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9701.1 | 1   1   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9800.0 | 0   1   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9900.0 | 1   1   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9901.4 | 1   0   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9902.7 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
       9903.7 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10000.0 | 0   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10100.0 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10101.1 | 1   1   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10200.0 | 0   1   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10300.0 | 1   1   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10301.4 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10302.4 | 1   0   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10400.0 | 0   0   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10500.0 | 1   0   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10501.1 | 1   1   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10600.0 | 0   1   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10700.0 | 1   1   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10701.4 | 1   0   1   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10702.7 | 1   0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10704.0 | 1   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10705.3 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0
      10706.3 | 1   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      10800.0 | 0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      10900.0 | 1   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      10901.1 | 1   1   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
